Date;3M;6M;1Y;2Y;3Y;4Y;5Y;6Y;7Y;8Y;9Y;10Y;15Y;20Y;30Y
15.05.2001;4,53266;4,45312;4,29396;4,25759;4,38739;4,50165;4,61552;4,72688;4,84088;4,96662;5,00487;5,06751;5,3865;5,58731;5,78925
16.05.2001;4,52781;4,43468;4,28144;4,2467;4,37207;4,48723;4,59866;4,71146;4,82855;4,9531;4,98723;5,05036;5,37466;5,57928;5,78502
17.05.2001;4,5249;4,44051;4,28892;4,25384;4,3735;4,48516;4,59619;4,70344;4,81913;4,94241;4,97826;5,04071;5,35427;5,55188;5,75054
18.05.2001;4,51811;4,43468;4,32451;4,29497;4,40736;4,51266;4,62049;4,71698;4,82637;4,94093;4,97415;5,03398;5,33576;5,52216;5,70946
21.05.2001;4,51811;4,45894;4,31007;4,28119;4,39519;4,50217;4,61256;4,7147;4,83144;4,94465;4,97897;5,03764;5,33301;5,51312;5,69398
22.05.2001;4,51617;4,43759;4,3379;4,31078;4,42688;4,53685;4,65088;4,75846;4,87572;4,99151;5,01949;5,0751;5,37515;5,55265;5,73076
23.05.2001;4,52393;4,46476;4,33224;4,30331;4,42158;4,53582;4,65366;4,76855;4,89951;5,02193;5,0536;5,07643;5,42347;5,6105;5,79774
24.05.2001;4,52005;4,45603;4,31145;4,28197;4,40789;4,53396;4,65924;4,77974;4,91316;5,0402;5,0783;5,09903;5,4462;5,63989;5,83391
25.05.2001;4,5249;4,45312;4,32109;4,30219;4,42781;4,55511;4,68221;4,80557;4,94012;5,06522;5,1048;5,12212;5,47224;5,66556;5,85915
28.05.2001;4,5249;4,45118;4,27265;4,24322;4,37984;4,52296;4,65764;4,77988;4,91705;5,04569;5,09085;5,10889;5,45918;5,65749;5,85613
29.05.2001;4,52102;4,44051;4,28056;4,25229;4,37977;4,51219;4,64163;4,76535;4,89484;5,01581;5,05542;5,07609;5,42752;5,61861;5,8099
30.05.2001;4,5055;4,42304;4,26884;4,26188;4,37652;4,50708;4,64139;4,76631;4,89903;5,02019;5,05511;5,07764;5,42239;5,60742;5,7926
31.05.2001;4,4929;4,41042;4,28786;4,30644;4,4138;4,54718;4,67894;4,79681;4,92251;5,03795;5,07119;5,09443;5,43485;5,61434;5,79393
01.06.2001;4,47544;4,38129;4,23201;4,23997;4,3325;4,45272;4,58572;4,70812;4,83143;4,946;4,98445;5,00246;5,3597;5,54606;5,73249
04.06.2001;4,45894;4,3541;4,2118;4,21551;4,30822;4,42959;4,56349;4,689;4,81933;4,94065;4,98377;4,99922;5,36225;5,55776;5,75341
05.06.2001;4,44924;4,34536;4,17789;4,18069;4,24644;4,36003;4,49424;4,62381;4,75324;4,88276;4,92678;4,94584;5,32154;5,51371;5,70591
06.06.2001;4,41333;4,31038;4,19041;4,19776;4,26626;4,39102;4,52901;4,65864;4,77748;4,91294;4,95175;4,97326;5,36426;5,55744;5,75056
