treatnr,blind,dsr,round,seller_quality_choice,buyer_cf_notpos,auction_price,matching_group_id
2,1,0,10,100,0,112,32
2,1,0,10,98,,213,31
1,0,0,10,75,0,151,47
1,0,0,10,100,0,201,14
2,1,0,10,98,,226,67
1,0,0,10,95,0,132,12
1,0,0,10,10,1,100,13
1,0,0,10,90,0,201,45
2,1,0,10,90,0,151,68
3,0,1,10,92,,201,56
3,0,1,10,80,1,123,56
3,0,1,10,100,,280,24
2,1,0,11,100,0,121,67
3,0,1,11,0,1,201,22
2,1,0,11,0,,,33
2,1,0,11,98,,280,34
3,0,1,11,80,0,139,22
1,0,0,11,90,0,121,13
1,0,0,11,100,,201,14
1,0,0,11,95,0,212,14
3,0,1,11,90,,216,21
2,1,0,11,95,0,127,32
3,0,1,11,90,0,201,23
2,1,0,11,90,,176,68
1,0,0,11,95,0,202,11
1,0,0,11,95,,201,46
3,0,1,11,99,,224,24
2,1,0,11,0,,151,33
3,0,1,11,100,0,211,55
3,0,1,11,1,1,100,56
2,1,0,11,90,0,151,65
3,0,1,11,0,,,57
2,1,0,11,10,,204,66
1,0,0,11,95,0,168,46
1,0,0,11,100,0,250,11
1,0,0,11,80,0,116,48
1,0,0,11,100,0,167,48
2,1,0,11,100,0,204,32
2,1,0,11,60,,152,66
3,0,1,11,100,,251,58
1,0,0,11,85,0,121,13
3,0,1,11,100,0,201,23
1,0,0,11,85,0,181,45
3,0,1,11,100,,231,24
3,0,1,11,90,0,122,58
3,0,1,11,80,1,204,56
2,1,0,11,90,0,143,68
1,0,0,11,50,,102,47
3,0,1,11,30,1,133,55
2,1,0,11,100,0,231,31
2,1,0,11,100,,251,67
1,0,0,11,80,,221,47
3,0,1,11,73,1,173,21
2,1,0,11,70,1,200,31
2,1,0,11,95,0,142,65
1,0,0,11,95,0,201,45
3,0,1,11,20,1,121,57
2,1,0,11,0,1,215,34
1,0,0,11,100,0,216,12
1,0,0,11,80,0,100,12
1,0,0,12,0,1,180,11
2,1,0,12,87,,108,65
3,0,1,12,10,1,101,24
3,0,1,12,95,0,138,55
2,1,0,12,85,,251,68
1,0,0,12,0,,,12
2,1,0,12,0,1,131,66
3,0,1,12,25,1,111,57
3,0,1,12,97,0,182,55
1,0,0,12,95,0,202,48
2,1,0,12,100,0,251,68
3,0,1,12,100,0,164,57
2,1,0,12,95,,179,65
2,1,0,12,95,1,256,67
1,0,0,12,84,0,204,47
3,0,1,12,80,1,180,21
2,1,0,12,90,0,100,33
2,1,0,12,70,1,221,31
1,0,0,12,75,1,202,46
3,0,1,12,99,,131,22
2,1,0,12,90,0,100,33
2,1,0,12,89,,188,31
1,0,0,12,90,,206,48
1,0,0,12,75,0,171,11
3,0,1,12,100,0,173,58
1,0,0,12,95,0,141,14
3,0,1,12,90,,212,22
3,0,1,12,2,1,126,21
2,1,0,12,60,1,152,66
2,1,0,12,100,,131,34
2,1,0,12,95,0,121,67
1,0,0,12,10,,151,45
2,1,0,12,80,1,203,34
1,0,0,12,0,1,100,12
1,0,0,12,80,0,100,13
3,0,1,12,95,0,244,56
2,1,0,12,0,1,248,32
3,0,1,12,100,0,118,23
3,0,1,12,100,0,251,23
3,0,1,12,0,1,161,58
1,0,0,12,100,0,161,13
2,1,0,12,99,0,131,32
1,0,0,12,97,0,216,46
3,0,1,12,88,,231,56
3,0,1,12,100,,191,24
1,0,0,12,81,1,190,14
1,0,0,12,0,1,191,45
1,0,0,12,10,1,100,47
1,0,0,13,86,,186,11
2,1,0,13,80,0,155,31
2,1,0,13,1,1,179,65
2,1,0,13,0,1,100,34
2,1,0,13,100,0,202,31
1,0,0,13,1,1,121,47
2,1,0,13,90,0,147,65
1,0,0,13,100,1,154,14
3,0,1,13,100,0,101,58
1,0,0,13,55,1,105,46
3,0,1,13,100,0,191,57
1,0,0,13,75,,231,47
1,0,0,13,90,0,103,13
2,1,0,13,0,1,103,33
2,1,0,13,100,,251,67
3,0,1,13,75,0,104,22
2,1,0,13,1,1,155,66
3,0,1,13,92,0,188,21
3,0,1,13,100,,205,21
3,0,1,13,75,,121,24
3,0,1,13,99,0,261,56
1,0,0,13,87,,135,48
2,1,0,13,0,1,151,32
2,1,0,13,100,0,154,33
3,0,1,13,100,0,173,57
1,0,0,13,0,1,151,11
3,0,1,13,75,1,136,22
1,0,0,13,80,1,100,14
1,0,0,13,0,1,143,12
3,0,1,13,100,,156,58
2,1,0,13,54,1,208,34
2,1,0,13,95,0,190,67
1,0,0,13,96,0,227,46
1,0,0,13,100,0,151,13
3,0,1,13,90,0,141,23
2,1,0,13,90,,113,32
3,0,1,13,90,1,141,23
3,0,1,13,100,0,264,55
2,1,0,13,100,0,251,68
1,0,0,13,92,0,152,48
2,1,0,13,2,1,101,66
2,1,0,13,90,,151,68
1,0,0,13,10,1,218,45
1,0,0,13,99,0,101,12
3,0,1,13,88,,101,56
3,0,1,13,10,1,182,55
3,0,1,13,100,,161,24
1,0,0,13,50,1,192,45
1,0,0,14,0,1,100,46
1,0,0,14,0,1,166,46
2,1,0,14,76,1,121,31
3,0,1,14,55,1,102,24
3,0,1,14,79,1,121,21
2,1,0,14,90,0,204,65
2,1,0,14,90,1,161,32
2,1,0,14,0,1,201,33
1,0,0,14,50,1,121,14
3,0,1,14,85,,219,22
2,1,0,14,0,1,100,33
2,1,0,14,60,1,106,67
1,0,0,14,95,0,144,11
2,1,0,14,60,,131,66
2,1,0,14,73,1,211,68
2,1,0,14,91,0,121,31
3,0,1,14,92,1,272,58
3,0,1,14,75,0,100,57
1,0,0,14,75,1,105,14
2,1,0,14,0,,100,66
3,0,1,14,78,0,132,56
1,0,0,14,93,1,193,45
3,0,1,14,100,0,161,22
3,0,1,14,100,0,171,55
1,0,0,14,0,1,171,13
1,0,0,14,90,0,181,47
1,0,0,14,95,0,213,48
3,0,1,14,100,,183,58
1,0,0,14,50,0,100,47
1,0,0,14,85,1,181,11
2,1,0,14,95,,196,32
2,1,0,14,78,,186,68
3,0,1,14,100,,230,23
3,0,1,14,90,,167,21
2,1,0,14,23,1,101,34
3,0,1,14,29,1,131,57
3,0,1,14,85,0,158,56
3,0,1,14,100,0,103,23
2,1,0,14,78,0,191,65
1,0,0,14,100,0,108,45
1,0,0,14,1,1,102,13
1,0,0,14,30,1,111,48
2,1,0,14,90,,131,34
1,0,0,14,80,1,137,12
2,1,0,14,100,0,181,67
1,0,0,14,85,0,181,12
3,0,1,14,100,0,171,24
3,0,1,14,5,1,192,55
1,0,0,15,75,0,100,12
3,0,1,15,100,,237,58
2,1,0,15,70,,172,31
1,0,0,15,90,1,179,45
3,0,1,15,80,,142,21
3,0,1,15,20,1,178,21
3,0,1,15,95,,184,56
3,0,1,15,90,0,131,57
1,0,0,15,0,1,157,12
2,1,0,15,92,0,204,65
3,0,1,15,0,1,141,22
1,0,0,15,80,0,152,48
2,1,0,15,100,0,151,33
1,0,0,15,85,,185,46
1,0,0,15,80,0,151,47
2,1,0,15,95,1,214,32
1,0,0,15,45,1,167,11
3,0,1,15,84,,214,56
2,1,0,15,0,,106,66
2,1,0,15,100,0,127,67
1,0,0,15,70,0,161,13
1,0,0,15,10,1,110,14
2,1,0,15,90,,127,68
3,0,1,15,100,0,209,22
3,0,1,15,100,0,235,23
1,0,0,15,75,0,221,47
1,0,0,15,95,0,224,45
2,1,0,15,80,1,161,65
1,0,0,15,91,0,142,14
2,1,0,15,85,,221,31
2,1,0,15,100,,211,68
1,0,0,15,95,0,181,46
2,1,0,15,80,,126,34
3,0,1,15,90,1,109,58
3,0,1,15,90,0,147,24
2,1,0,15,0,1,131,66
3,0,1,15,2,1,202,55
2,1,0,15,85,,101,34
2,1,0,15,80,0,101,33
2,1,0,15,100,0,151,32
1,0,0,15,0,1,100,11
3,0,1,15,0,1,202,23
1,0,0,15,90,1,155,13
2,1,0,15,100,0,231,67
3,0,1,15,85,0,144,57
1,0,0,15,20,1,101,48
3,0,1,15,100,0,100,55
3,0,1,15,30,1,102,24
3,0,1,16,100,0,203,55
1,0,0,16,75,0,151,47
1,0,0,16,100,0,262,11
3,0,1,16,85,1,201,22
3,0,1,16,2,1,181,21
3,0,1,16,100,0,187,21
2,1,0,16,83,1,271,68
1,0,0,16,90,0,262,48
2,1,0,16,100,,199,32
3,0,1,16,80,1,131,24
2,1,0,16,78,1,179,65
1,0,0,16,77,,178,13
1,0,0,16,80,0,111,12
3,0,1,16,0,1,101,22
2,1,0,16,0,,100,66
3,0,1,16,83,0,113,57
1,0,0,16,95,0,140,12
3,0,1,16,90,,131,24
2,1,0,16,90,,231,31
2,1,0,16,95,1,171,32
3,0,1,16,0,1,251,58
2,1,0,16,100,0,141,67
1,0,0,16,90,1,163,46
1,0,0,16,0,1,154,13
2,1,0,16,100,0,258,67
2,1,0,16,0,1,121,34
1,0,0,16,80,,102,14
1,0,0,16,100,0,111,14
3,0,1,16,100,0,110,58
2,1,0,16,90,0,202,65
1,0,0,16,80,0,123,46
1,0,0,16,10,1,109,45
3,0,1,16,72,1,102,56
2,1,0,16,98,,262,31
3,0,1,16,90,1,131,55
2,1,0,16,90,0,231,68
2,1,0,16,0,1,209,34
3,0,1,16,100,1,204,57
1,0,0,16,100,0,201,45
2,1,0,16,80,,137,33
1,0,0,16,75,,211,47
3,0,1,16,100,0,212,23
1,0,0,16,0,1,236,11
2,1,0,16,1,1,100,66
2,1,0,16,0,1,104,33
1,0,0,16,100,0,232,48
3,0,1,16,94,0,182,56
3,0,1,16,100,0,202,23
3,0,1,17,87,,155,21
2,1,0,17,85,1,254,68
1,0,0,17,50,1,103,48
1,0,0,17,78,,156,47
1,0,0,17,75,,181,47
2,1,0,17,0,1,134,34
2,1,0,17,81,1,238,68
2,1,0,17,90,,100,33
2,1,0,17,50,,102,66
2,1,0,17,100,0,251,34
1,0,0,17,95,1,256,48
3,0,1,17,90,,131,24
3,0,1,17,100,0,171,57
2,1,0,17,92,0,171,31
3,0,1,17,70,1,160,56
3,0,1,17,0,1,101,58
1,0,0,17,100,0,271,45
1,0,0,17,80,0,131,14
1,0,0,17,95,0,176,46
3,0,1,17,50,1,121,22
2,1,0,17,0,,100,66
3,0,1,17,100,1,266,55
2,1,0,17,95,,146,67
2,1,0,17,0,1,119,33
3,0,1,17,86,1,101,23
3,0,1,17,98,0,164,21
2,1,0,17,98,0,180,67
3,0,1,17,0,1,127,57
1,0,0,17,0,1,100,46
2,1,0,17,100,0,163,32
3,0,1,17,100,0,261,24
3,0,1,17,85,0,104,58
1,0,0,17,90,0,158,14
2,1,0,17,80,0,231,65
1,0,0,17,85,0,151,12
1,0,0,17,87,1,200,11
3,0,1,17,100,0,177,55
3,0,1,17,100,0,171,22
3,0,1,17,90,0,144,23
2,1,0,17,90,,125,32
1,0,0,17,60,1,141,45
2,1,0,17,75,1,151,31
2,1,0,17,92,,200,65
1,0,0,17,1,1,100,13
1,0,0,17,80,,151,12
3,0,1,17,90,0,104,56
1,0,0,17,80,1,121,13
1,0,0,17,10,1,137,11
2,1,0,18,90,0,101,68
3,0,1,18,80,,162,56
2,1,0,18,90,0,100,33
1,0,0,18,0,1,170,46
1,0,0,18,90,0,225,11
3,0,1,18,90,,176,21
2,1,0,18,0,1,191,32
3,0,1,18,98,0,267,56
1,0,0,18,0,1,134,13
3,0,1,18,95,1,146,55
1,0,0,18,50,1,101,48
1,0,0,18,85,,176,14
3,0,1,18,50,,146,22
3,0,1,18,100,,111,58
2,1,0,18,0,,,66
3,0,1,18,95,0,211,23
2,1,0,18,0,1,102,33
3,0,1,18,100,0,204,57
2,1,0,18,80,,103,31
1,0,0,18,10,1,110,45
2,1,0,18,80,1,155,65
2,1,0,18,93,0,228,31
1,0,0,18,0,1,229,46
1,0,0,18,90,0,152,12
1,0,0,18,80,0,180,47
3,0,1,18,100,1,162,55
2,1,0,18,100,0,241,67
2,1,0,18,95,,191,34
2,1,0,18,0,,101,66
3,0,1,18,100,0,187,24
3,0,1,18,100,0,234,23
1,0,0,18,90,0,101,12
3,0,1,18,0,1,236,22
2,1,0,18,100,0,211,67
3,0,1,18,99,0,201,24
3,0,1,18,100,0,170,58
3,0,1,18,80,1,127,57
2,1,0,18,100,1,251,68
1,0,0,18,85,,145,14
1,0,0,18,0,1,102,11
1,0,0,18,10,1,114,45
1,0,0,18,80,0,103,13
3,0,1,18,94,0,197,21
1,0,0,18,80,,202,47
2,1,0,18,50,1,104,65
1,0,0,18,90,0,172,48
2,1,0,18,100,0,221,32
2,1,0,18,0,1,139,34
2,1,0,19,80,,153,68
2,1,0,19,85,,175,34
3,0,1,19,80,1,141,55
1,0,0,19,80,,111,46
1,0,0,19,0,1,101,11
3,0,1,19,91,0,118,56
3,0,1,19,100,,201,58
2,1,0,19,79,1,252,68
2,1,0,19,0,1,101,33
